Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
41,Yes,Travel_Rarely,1102,Sales,1,2,2,Female,Sales Executive,4,Single,5993,8,Yes,11,3,1,6,4,0
49,No,Travel_Frequently,279,Research & Development,8,1,3,Male,Research Scientist,2,Married,5130,1,No,23,4,3,10,7,1
37,Yes,Travel_Rarely,1373,Research & Development,2,2,4,Male,Laboratory Technician,3,Single,2090,6,Yes,15,3,3,0,0,0
33,No,Travel_Frequently,1392,Research & Development,3,4,4,Female,Research Scientist,3,Married,2909,1,Yes,11,3,3,8,7,3
27,No,Travel_Rarely,591,Research & Development,2,1,1,Male,Laboratory Technician,2,Married,3468,9,No,12,3,3,2,2,2
32,No,Travel_Frequently,1005,Research & Development,2,2,4,Male,Laboratory Technician,4,Single,3068,0,No,13,3,2,7,7,3
59,No,Travel_Rarely,1324,Research & Development,3,3,3,Female,Laboratory Technician,1,Married,2670,4,Yes,20,4,2,1,0,0
30,No,Travel_Rarely,1358,Research & Development,24,1,4,Male,Laboratory Technician,3,Divorced,2693,1,No,22,4,3,1,0,0
38,No,Travel_Frequently,216,Research & Development,23,3,4,Male,Manufacturing Director,3,Single,9526,0,No,21,4,3,9,7,1
36,No,Travel_Rarely,1299,Research & Development,27,3,3,Male,Healthcare Representative,3,Married,5237,6,No,13,3,2,7,7,7
35,No,Travel_Rarely,809,Research & Development,16,3,1,Male,Laboratory Technician,2,Married,2426,0,No,13,3,3,5,4,0
29,No,Travel_Rarely,153,Research & Development,15,2,4,Female,Laboratory Technician,3,Single,4193,0,Yes,12,3,3,9,5,0
31,No,Travel_Rarely,670,Research & Development,26,1,1,Male,Research Scientist,3,Divorced,2911,1,No,17,3,2,5,2,4
34,No,Travel_Rarely,1346,Research & Development,19,2,2,Male,Laboratory Technician,4,Divorced,2661,0,No,11,3,3,2,2,1
28,Yes,Travel_Rarely,103,Research & Development,24,3,3,Male,Laboratory Technician,3,Single,2028,5,Yes,14,3,3,4,2,0
29,No,Travel_Rarely,1389,Research & Development,21,4,2,Female,Manufacturing Director,1,Divorced,9980,1,No,11,3,3,10,9,8
32,No,Travel_Rarely,334,Research & Development,5,2,1,Male,Research Scientist,2,Divorced,3298,0,Yes,12,3,2,6,2,0
22,No,Non-Travel,1123,Research & Development,16,2,4,Male,Laboratory Technician,4,Divorced,2935,1,Yes,13,3,2,1,0,0
53,No,Travel_Rarely,1219,Sales,2,4,1,Female,Manager,4,Married,15427,2,No,16,3,3,25,8,3
38,No,Travel_Rarely,371,Research & Development,2,3,4,Male,Research Scientist,4,Single,3944,5,Yes,11,3,3,3,2,1
24,No,Non-Travel,673,Research & Development,11,2,1,Female,Manufacturing Director,3,Divorced,4011,0,No,18,3,2,4,2,1
36,Yes,Travel_Rarely,1218,Sales,9,4,3,Male,Sales Representative,1,Single,3407,7,No,23,4,3,5,3,0
34,No,Travel_Rarely,419,Research & Development,7,4,1,Female,Research Director,2,Single,11994,0,No,11,3,3,12,6,2
21,No,Travel_Rarely,391,Research & Development,15,2,3,Male,Research Scientist,4,Single,1232,1,No,14,3,3,0,0,0
34,Yes,Travel_Rarely,699,Research & Development,6,1,2,Male,Research Scientist,1,Single,2960,2,No,11,3,3,4,2,1
53,No,Travel_Rarely,1282,Research & Development,5,3,3,Female,Manager,3,Divorced,19094,4,No,11,3,2,14,13,4
32,Yes,Travel_Frequently,1125,Research & Development,16,1,2,Female,Research Scientist,1,Single,3919,1,Yes,22,4,3,10,2,6
42,No,Travel_Rarely,691,Sales,8,4,3,Male,Sales Executive,2,Married,6825,0,No,11,3,3,9,7,4
44,No,Travel_Rarely,477,Research & Development,7,4,1,Female,Healthcare Representative,4,Married,10248,3,No,14,3,3,22,6,5
46,No,Travel_Rarely,705,Sales,2,4,2,Female,Manager,1,Single,18947,3,No,12,3,2,2,2,2
33,No,Travel_Rarely,924,Research & Development,2,3,3,Male,Laboratory Technician,4,Single,2496,4,No,11,3,3,1,1,0
44,No,Travel_Rarely,1459,Research & Development,10,4,4,Male,Healthcare Representative,4,Married,6465,2,Yes,13,3,4,4,2,1
30,No,Travel_Rarely,125,Research & Development,9,2,4,Male,Laboratory Technician,3,Single,2206,1,No,13,3,3,10,0,1
39,Yes,Travel_Rarely,895,Sales,5,3,4,Male,Sales Representative,4,Married,2086,3,No,14,3,4,1,0,0
24,Yes,Travel_Rarely,813,Research & Development,1,3,2,Male,Research Scientist,4,Married,2293,2,Yes,16,3,2,2,0,2
43,No,Travel_Rarely,1273,Research & Development,2,2,4,Female,Research Scientist,3,Divorced,2645,1,No,12,3,2,5,3,1
50,Yes,Travel_Rarely,869,Sales,3,2,1,Male,Sales Representative,3,Married,2683,1,Yes,14,3,3,3,2,0
35,No,Travel_Rarely,890,Sales,2,3,4,Female,Sales Representative,4,Married,2014,1,No,13,3,3,2,2,2
36,No,Travel_Rarely,852,Research & Development,5,4,2,Female,Research Scientist,1,Married,3419,9,Yes,14,3,4,1,1,0
33,No,Travel_Frequently,1141,Sales,1,3,3,Female,Sales Executive,1,Married,5376,2,No,19,3,3,5,3,1
35,No,Travel_Rarely,464,Research & Development,4,2,3,Male,Laboratory Technician,4,Divorced,1951,1,No,12,3,3,1,0,0
27,No,Travel_Rarely,1240,Research & Development,2,4,4,Female,Laboratory Technician,1,Divorced,2341,1,No,13,3,3,1,0,0
26,Yes,Travel_Rarely,1357,Research & Development,25,3,1,Male,Laboratory Technician,3,Single,2293,1,No,12,3,2,1,0,0
27,No,Travel_Frequently,994,Sales,8,3,4,Male,Sales Executive,3,Single,8726,1,No,15,3,3,9,8,1
30,No,Travel_Frequently,721,Research & Development,1,2,3,Female,Laboratory Technician,4,Single,4011,1,No,23,4,3,12,8,3
41,Yes,Travel_Rarely,1360,Research & Development,12,3,2,Female,Research Director,3,Married,19545,1,No,12,3,3,22,15,15
34,No,Non-Travel,1065,Sales,23,4,2,Male,Sales Executive,3,Single,4568,0,No,20,4,3,9,5,8
37,No,Travel_Rarely,408,Research & Development,19,2,2,Male,Research Scientist,2,Married,3022,4,No,21,4,3,1,0,0
46,No,Travel_Frequently,1211,Sales,5,4,1,Male,Sales Executive,4,Single,5772,4,Yes,21,4,3,9,6,0
35,No,Travel_Rarely,1229,Research & Development,8,1,4,Male,Laboratory Technician,4,Married,2269,1,No,19,3,3,1,0,0
48,Yes,Travel_Rarely,626,Research & Development,1,2,1,Male,Laboratory Technician,3,Single,5381,9,Yes,13,3,3,1,0,0
28,Yes,Travel_Rarely,1434,Research & Development,5,4,3,Male,Laboratory Technician,3,Single,3441,1,Yes,13,3,2,2,2,2
44,No,Travel_Rarely,1488,Sales,1,5,2,Female,Sales Executive,1,Divorced,5454,5,Yes,21,4,2,4,3,1
35,No,Non-Travel,1097,Research & Development,11,2,3,Male,Healthcare Representative,1,Married,9884,2,Yes,13,3,3,4,0,2
26,No,Travel_Rarely,1443,Sales,23,3,3,Female,Sales Executive,4,Married,4157,7,Yes,19,3,2,2,2,0
33,No,Travel_Frequently,515,Research & Development,1,2,1,Female,Research Director,4,Single,13458,1,Yes,12,3,3,15,14,8
35,No,Travel_Frequently,853,Sales,18,5,2,Male,Sales Executive,1,Married,9069,1,No,22,4,2,9,8,1
35,No,Travel_Rarely,1142,Research & Development,23,4,3,Female,Laboratory Technician,1,Married,4014,3,Yes,15,3,3,2,2,2
31,No,Travel_Rarely,655,Research & Development,7,4,4,Male,Laboratory Technician,4,Divorced,5915,3,No,22,4,2,7,7,1
37,No,Travel_Rarely,1115,Research & Development,1,4,1,Male,Manufacturing Director,3,Divorced,5993,1,No,18,3,4,7,5,0
32,No,Travel_Rarely,427,Research & Development,1,3,1,Male,Manufacturing Director,4,Married,6162,1,Yes,22,4,3,9,8,7
38,No,Travel_Frequently,653,Research & Development,29,5,4,Female,Laboratory Technician,4,Single,2406,1,No,11,3,3,10,3,9
50,No,Travel_Rarely,989,Research & Development,7,2,2,Female,Research Director,3,Divorced,18740,5,Yes,12,3,2,27,3,13
59,No,Travel_Rarely,1435,Sales,25,3,1,Female,Sales Executive,1,Single,7637,7,No,11,3,2,21,16,7
36,No,Travel_Rarely,1223,Research & Development,8,3,3,Female,Healthcare Representative,3,Divorced,10096,1,No,13,3,3,17,14,12
55,No,Travel_Rarely,836,Research & Development,8,3,4,Female,Manager,3,Divorced,14756,2,Yes,14,3,3,5,0,0
36,No,Travel_Frequently,1195,Research & Development,11,3,2,Male,Manufacturing Director,2,Single,6499,1,No,13,3,3,6,5,0
45,No,Travel_Rarely,1339,Research & Development,7,3,2,Male,Research Scientist,1,Divorced,9724,2,No,17,3,3,1,0,0
35,No,Travel_Frequently,664,Research & Development,1,3,2,Male,Research Scientist,1,Married,2194,4,No,13,3,2,3,2,1
36,Yes,Travel_Rarely,318,Research & Development,9,3,4,Male,Research Scientist,3,Married,3388,0,Yes,17,3,2,1,0,0
59,No,Travel_Frequently,1225,Sales,1,1,1,Female,Sales Executive,3,Single,5473,7,No,11,3,2,4,3,1
29,No,Travel_Rarely,1328,Research & Development,2,3,3,Male,Research Scientist,2,Married,2703,0,No,23,4,3,5,4,0
31,No,Travel_Rarely,1082,Research & Development,1,4,3,Male,Research Scientist,2,Single,2501,1,No,17,3,3,1,1,1
32,No,Travel_Rarely,548,Research & Development,1,3,2,Male,Research Scientist,2,Married,6220,1,No,17,3,3,10,4,0
36,No,Travel_Rarely,132,Research & Development,6,3,2,Female,Laboratory Technician,4,Married,3038,3,No,12,3,3,1,0,0
31,No,Travel_Rarely,746,Research & Development,8,4,3,Female,Manufacturing Director,4,Single,4424,1,No,23,4,3,11,7,1
35,No,Travel_Rarely,776,Sales,1,4,3,Male,Sales Executive,1,Single,4312,0,No,14,3,3,15,13,2
45,No,Travel_Rarely,193,Research & Development,6,4,4,Male,Research Director,1,Married,13245,4,Yes,14,3,4,0,0,0
37,No,Travel_Rarely,397,Research & Development,7,4,1,Male,Research Director,3,Single,13664,4,No,13,3,4,5,2,0
46,No,Travel_Rarely,945,Human Resources,5,2,2,Male,Human Resources,2,Divorced,5021,8,Yes,22,4,3,4,2,0
30,No,Travel_Rarely,852,Research & Development,1,1,4,Male,Laboratory Technician,4,Married,5126,1,Yes,12,3,2,10,8,3
35,No,Travel_Rarely,1214,Research & Development,1,3,2,Male,Research Scientist,3,Single,2859,1,No,18,3,3,6,4,0
55,No,Travel_Rarely,111,Sales,1,2,1,Male,Sales Executive,4,Married,10239,3,No,14,3,3,1,0,1
38,No,Non-Travel,573,Research & Development,6,3,2,Female,Research Scientist,4,Divorced,5329,7,Yes,12,3,3,13,11,1
34,No,Travel_Rarely,1153,Research & Development,1,2,1,Male,Manufacturing Director,2,Married,4325,1,No,15,3,3,5,2,1
56,No,Travel_Rarely,1400,Research & Development,7,3,4,Male,Manufacturing Director,4,Single,7260,4,No,11,3,2,6,4,0
23,No,Travel_Rarely,541,Sales,2,1,3,Male,Sales Representative,1,Divorced,2322,3,No,13,3,3,0,0,0
51,No,Travel_Rarely,432,Research & Development,9,4,4,Male,Laboratory Technician,4,Married,2075,3,No,23,4,3,4,2,0
30,No,Travel_Rarely,288,Research & Development,2,3,3,Male,Healthcare Representative,4,Married,4152,1,No,19,3,3,11,10,10
46,Yes,Travel_Rarely,669,Sales,9,2,3,Male,Sales Executive,4,Single,9619,1,No,16,3,3,9,8,4
40,No,Travel_Frequently,530,Research & Development,1,4,3,Male,Healthcare Representative,2,Married,13503,1,No,22,4,2,22,3,11
51,No,Travel_Rarely,632,Sales,21,4,3,Male,Sales Executive,4,Single,5441,0,Yes,22,4,1,10,7,1
30,No,Travel_Rarely,1334,Sales,4,2,3,Female,Sales Executive,2,Divorced,5209,1,Yes,12,3,2,11,8,2
46,No,Travel_Frequently,638,Research & Development,1,3,3,Male,Healthcare Representative,1,Married,10673,2,Yes,13,3,2,10,9,9
32,No,Travel_Rarely,1093,Sales,6,4,2,Male,Sales Executive,3,Single,5010,1,No,16,3,3,11,8,5
54,No,Travel_Rarely,1217,Research & Development,2,4,1,Female,Research Director,3,Married,13549,9,No,12,3,1,4,3,0
24,No,Travel_Rarely,1353,Sales,3,2,1,Female,Sales Executive,3,Married,4999,0,No,21,4,2,3,2,0
28,No,Non-Travel,120,Sales,4,3,2,Male,Sales Executive,3,Married,4221,1,No,15,3,4,5,4,0
58,No,Travel_Rarely,682,Sales,10,4,4,Male,Sales Executive,3,Single,13872,0,No,13,3,2,37,10,1
44,No,Non-Travel,489,Research & Development,23,3,2,Male,Laboratory Technician,2,Married,2042,4,No,12,3,4,3,2,1
37,Yes,Travel_Rarely,807,Human Resources,6,4,3,Male,Human Resources,1,Divorced,2073,4,Yes,22,4,3,3,2,0
32,No,Travel_Rarely,827,Research & Development,1,1,4,Male,Research Scientist,1,Single,2956,1,No,13,3,3,1,0,0
20,Yes,Travel_Frequently,871,Research & Development,6,3,4,Female,Laboratory Technician,4,Single,2926,1,Yes,18,3,3,1,0,1
34,No,Travel_Rarely,665,Research & Development,6,4,1,Female,Research Scientist,3,Single,4809,1,No,14,3,3,16,13,2
37,No,Non-Travel,1040,Research & Development,2,2,3,Male,Healthcare Representative,4,Divorced,5163,5,No,14,3,4,1,0,0
59,No,Non-Travel,1420,Human Resources,2,4,3,Female,Manager,4,Married,18844,9,No,21,4,3,3,2,2
50,No,Travel_Frequently,1115,Research & Development,1,3,1,Female,Research Director,2,Married,18172,3,Yes,19,3,2,8,3,0
25,Yes,Travel_Rarely,240,Sales,5,3,3,Male,Sales Executive,3,Single,5744,1,Yes,11,3,3,6,4,0
25,No,Travel_Rarely,1280,Research & Development,7,1,4,Male,Research Scientist,4,Married,2889,1,No,11,3,3,2,2,2
22,No,Travel_Rarely,534,Research & Development,15,3,2,Female,Laboratory Technician,4,Single,2871,1,No,15,3,3,0,0,0
51,No,Travel_Frequently,1456,Research & Development,1,4,1,Female,Healthcare Representative,1,Single,7484,3,No,20,4,2,13,12,12
34,Yes,Travel_Frequently,658,Research & Development,7,3,1,Male,Laboratory Technician,3,Single,6074,1,Yes,24,4,3,9,7,0
54,No,Non-Travel,142,Human Resources,26,3,4,Female,Manager,4,Single,17328,2,Yes,12,3,3,5,3,4
24,No,Travel_Rarely,1127,Research & Development,18,1,2,Male,Laboratory Technician,3,Married,2774,0,No,12,3,3,5,3,1
34,No,Travel_Rarely,1031,Research & Development,6,4,3,Female,Research Scientist,2,Divorced,4505,6,No,15,3,3,1,0,0
37,No,Travel_Rarely,1189,Sales,3,3,3,Male,Sales Executive,4,Single,7428,2,No,12,3,3,5,3,1
34,No,Travel_Rarely,1354,Research & Development,5,3,3,Female,Manager,1,Single,11631,2,No,12,3,3,11,10,5
36,No,Travel_Frequently,1467,Sales,11,2,2,Female,Sales Executive,4,Married,9738,0,No,14,3,3,9,7,2
36,No,Travel_Rarely,922,Research & Development,3,2,1,Female,Laboratory Technician,4,Divorced,2835,5,No,22,4,3,1,0,0
43,No,Travel_Frequently,394,Sales,26,2,3,Male,Manager,4,Married,16959,1,Yes,12,3,4,25,12,4
30,No,Travel_Frequently,1312,Research & Development,23,3,1,Male,Research Scientist,3,Divorced,2613,1,No,25,4,2,10,7,0
33,No,Non-Travel,750,Sales,22,2,3,Male,Sales Executive,2,Married,6146,0,No,13,3,4,7,7,0
56,Yes,Travel_Rarely,441,Research & Development,14,4,2,Female,Research Scientist,2,Married,4963,9,Yes,18,3,3,5,4,4
51,No,Travel_Rarely,684,Research & Development,6,3,1,Male,Research Director,3,Single,19537,7,No,13,3,3,20,18,15
31,Yes,Travel_Rarely,249,Sales,6,4,2,Male,Sales Executive,3,Married,6172,4,Yes,18,3,2,7,7,7
26,No,Travel_Rarely,841,Research & Development,6,3,3,Female,Research Scientist,2,Married,2368,1,No,19,3,2,5,4,4
58,Yes,Travel_Rarely,147,Research & Development,23,4,4,Female,Healthcare Representative,4,Married,10312,1,No,12,3,2,40,10,15
19,Yes,Travel_Rarely,528,Sales,22,1,4,Male,Sales Representative,3,Single,1675,1,Yes,19,3,2,0,0,0
22,No,Travel_Rarely,594,Research & Development,2,1,3,Male,Laboratory Technician,4,Married,2523,0,No,14,3,3,2,1,2
49,No,Travel_Rarely,470,Research & Development,20,4,3,Female,Manufacturing Director,1,Married,6567,1,No,14,3,2,15,11,5
43,No,Travel_Frequently,957,Research & Development,28,3,2,Female,Research Scientist,3,Single,4739,4,No,12,3,3,3,2,1
50,No,Travel_Frequently,809,Sales,12,3,3,Female,Sales Executive,4,Single,9208,4,No,11,3,3,2,2,2
31,Yes,Travel_Rarely,542,Sales,20,3,2,Female,Sales Executive,3,Married,4559,3,Yes,11,3,3,2,2,2
41,No,Travel_Rarely,802,Sales,9,1,3,Male,Sales Executive,3,Divorced,8189,3,Yes,13,3,3,9,7,0
26,No,Travel_Rarely,1355,Human Resources,25,1,3,Female,Human Resources,3,Married,2942,1,No,23,4,3,8,7,5
36,No,Travel_Rarely,216,Research & Development,6,2,2,Male,Manufacturing Director,2,Divorced,4941,6,No,20,4,3,3,2,0
51,Yes,Travel_Frequently,1150,Research & Development,8,4,1,Male,Manufacturing Director,4,Single,10650,2,No,15,3,3,4,2,0
39,No,Travel_Rarely,1329,Sales,4,4,4,Female,Sales Executive,3,Married,5902,4,No,14,3,4,15,11,5
25,No,Travel_Rarely,959,Sales,28,3,1,Male,Sales Executive,3,Married,8639,2,No,18,3,3,2,2,2
30,No,Travel_Rarely,1240,Human Resources,9,3,3,Male,Human Resources,4,Married,6347,0,Yes,19,3,1,11,9,4
32,Yes,Travel_Rarely,1033,Research & Development,9,3,1,Female,Laboratory Technician,1,Single,4200,7,No,22,4,4,5,4,0
45,No,Travel_Rarely,1316,Research & Development,29,3,3,Male,Research Scientist,4,Single,3452,5,No,13,3,2,6,5,0
38,No,Travel_Rarely,364,Research & Development,3,5,4,Female,Research Scientist,3,Single,4317,3,Yes,20,4,3,3,2,2
30,No,Travel_Rarely,438,Research & Development,18,3,1,Female,Research Scientist,3,Single,2632,1,No,14,3,2,5,4,0
32,No,Travel_Frequently,689,Sales,9,2,4,Male,Sales Executive,4,Divorced,4668,0,No,17,3,4,8,7,0
30,No,Travel_Rarely,201,Research & Development,5,3,4,Female,Research Scientist,1,Divorced,3204,5,No,14,3,3,3,2,2
30,No,Travel_Rarely,1427,Research & Development,2,1,2,Male,Laboratory Technician,4,Single,2720,0,No,13,3,3,5,3,1
41,No,Travel_Frequently,857,Research & Development,10,3,4,Male,Manager,1,Divorced,17181,4,No,13,3,2,7,6,7
41,No,Travel_Rarely,933,Research & Development,9,4,3,Male,Laboratory Technician,1,Married,2238,2,No,21,4,3,5,0,1
19,No,Travel_Rarely,1181,Research & Development,3,1,2,Female,Laboratory Technician,2,Single,1483,1,No,14,3,3,1,0,0
